Pais,Titulo_ES,Titulo_EN,tipos,link
Belice,Habilidades para acceder a la economía verde,Skills to Access the Green Economy,cambio_climatico|covid19,https://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1128547063-6
Bolivia,Plataforma virtual de capacitación laboral agropecuaria,,cuarta_revolucion_industrial|cambio_climatico,https://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1128547063-7
Brasil,TVET modular en las industrias digitales de São Paulo,Modular TVET in São Paulo’s digital industries,cuarta_revolucion_industrial|diversidad,https://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1128547063-5
Chile,Relink: reconversión laboral inteligente,,cuarta_revolucion_industrial|covid19,https://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1128547063-8
Colombia,Más y mejores empleos para madres adolescentes y vulnerables,,cuarta_revolucion_industrial|diversidad|covid19,https://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1128547063-12
Colombia,Palmipilos: mejores perspectivas laborales y educativas para los jóvenes,,cuarta_revolucion_industrial|diversidad|covid19,https://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1128547063-9
Costa Rica,Certificaciones para la industria 4.0 en la pospandemia,,cuarta_revolucion_industrial|covid19,https://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1128547063-10
Costa Rica,Apoyo a la transformación de la formación profesional,,cuarta_revolucion_industrial|covid19,https://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1128547063-11
El Salvador,Habilidades de e-lancing para el trabajo digital en la economía digital,,cuarta_revolucion_industrial|diversidad|covid19,https://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1128547063-13
Guatemala,Mejores formadores en escenarios virtuales,,cuarta_revolucion_industrial|diversidad,https://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1128547063-14
México,Formación profesional técnica para la cuarta revolución industrial,,cuarta_revolucion_industrial,https://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1128547063-15
Paraguay,Capacitación en procesos de automatización,,cuarta_revolucion_industrial,https://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1128547063-16
